City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
541,Wahiawa,US,78.76,light rain,21.5028,-158.0236,The Inn At Schofield
547,Flinders,AU,75.18,scattered clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
549,Moissala,TD,79.66,overcast clouds,8.3404,17.7663,
557,Kalmunai,LK,78.66,overcast clouds,7.4167,81.8167,VS Villa
560,Buraydah,SA,77.45,overcast clouds,26.326,43.975,Mövenpick Qassim
562,Puerto Madero,MX,81.59,overcast clouds,14.7208,-92.4215,Hospedaje madero
563,Daru,PG,83.07,moderate rain,-9.0763,143.2092,Daru Lodge
578,Atambua,ID,82.71,scattered clouds,-9.1061,124.8925,Kost Alfa Flat
583,Yulara,AU,84.04,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
585,Sabang,ID,82.81,overcast clouds,5.8933,95.3214,Hotel Citra
588,San-Pedro,CI,79.56,overcast clouds,4.7485,-6.6363,Hotel Maria
592,Neiafu,TO,81.28,light intensity shower rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
595,Kulhudhuffushi,MV,82.35,clear sky,6.6221,73.07,Haajy Guest House 1
601,Villa Bruzual,VE,80.98,overcast clouds,9.3328,-69.1208,hotel italia
602,Kokopo,PG,83.16,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
616,Harindanga,IN,75.72,scattered clouds,22.0383,88.3214,Hazi Home
617,Sao Joao Da Barra,BR,78.73,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
618,Santa Marta,CO,83.89,scattered clouds,11.2408,-74.199,Hotel La Ballena Azul
619,Sampit,ID,86.83,scattered clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
620,Esperanza,DO,75.78,clear sky,19.5847,-70.9849,Cabañas Bernard - Alojamientos Turísticos
625,Waounde,SN,81.25,clear sky,15.2637,-12.8682,
628,Bougouni,ML,79.88,broken clouds,11.417,-7.479,Non Stop
629,Touros,BR,80.87,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
637,Ankpa,NG,77.81,scattered clouds,7.3706,7.6253,AA Suites
638,Hirara,JP,75.06,few clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
646,Caucaia,BR,80.91,light rain,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
649,Kismayo,SO,77.68,few clouds,-0.3582,42.5454,Agan-Hotel
650,Tumsar,IN,75.09,clear sky,21.3833,79.7333,Sai Guest House
651,Denpasar,ID,83.86,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
658,Yendi,GH,85.89,overcast clouds,9.4427,-0.0099,Eyarro Lodge
660,Puerto Escondido,MX,78.22,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
668,Shenzhen,CN,75.27,few clouds,22.5455,114.0683,Grand Skylight
669,Kudahuvadhoo,MV,82.51,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
671,Baculin,PH,84.49,overcast clouds,7.4525,126.5842,Baculin Cove Beach Resort
672,Mersing,MY,82.31,scattered clouds,2.4312,103.8405,Timotel Hotel
674,Coruripe,BR,78.15,broken clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
